scenario_id,event,regime,n,replicates,covered,coverage,wilson_95_lower,wilson_95_upper,mean_width,target_rate,nominal_coverage,coverage_rule_passed
S1_independent_reference,stack_unsafe_pass,I0,64,128,128,1.0,0.9708630437264916,1.0,0.631608074474436,0.125,0.9,True
S1_independent_reference,stack_unsafe_pass,I1,64,128,128,1.0,0.9708630437264916,1.0,0.4342934765375998,0.125,0.9,True
S1_independent_reference,stack_unsafe_pass,I2,64,128,128,1.0,0.9708630437264916,1.0,0.4084845794293451,0.125,0.9,True
S1_independent_reference,any_guardrail_failure,I0,64,128,128,1.0,0.9708630437264916,1.0,0.626603191661936,0.875,0.9,True
S1_independent_reference,any_guardrail_failure,I1,64,128,128,1.0,0.9708630437264916,1.0,0.6253335156000996,0.875,0.9,True
S1_independent_reference,any_guardrail_failure,I2,64,128,128,1.0,0.9708630437264916,1.0,0.6434699309918451,0.875,0.9,True
S1_independent_reference,stack_unsafe_pass,I0,256,128,128,1.0,0.9708630437264916,1.0,0.559731039190343,0.125,0.9,True
S1_independent_reference,stack_unsafe_pass,I1,256,128,128,1.0,0.9708630437264916,1.0,0.3448628027219248,0.125,0.9,True
S1_independent_reference,stack_unsafe_pass,I2,256,128,128,1.0,0.9708630437264916,1.0,0.32988315885529756,0.125,0.9,True
S1_independent_reference,any_guardrail_failure,I0,256,128,128,1.0,0.9708630437264916,1.0,0.5625996915340928,0.875,0.9,True
S1_independent_reference,any_guardrail_failure,I1,256,128,128,1.0,0.9708630437264916,1.0,0.5277097594864683,0.875,0.9,True
S1_independent_reference,any_guardrail_failure,I2,256,128,128,1.0,0.9708630437264916,1.0,0.5175120253940177,0.875,0.9,True
S2_common_cause,stack_unsafe_pass,I0,64,128,128,1.0,0.9708630437264916,1.0,0.6831217463494359,0.5,0.9,True
S2_common_cause,stack_unsafe_pass,I1,64,128,128,1.0,0.9708630437264916,1.0,0.6834003265127965,0.5,0.9,True
S2_common_cause,stack_unsafe_pass,I2,64,128,128,1.0,0.9708630437264916,1.0,0.6702162517786132,0.5,0.9,True
S2_common_cause,any_guardrail_failure,I0,64,128,128,1.0,0.9708630437264916,1.0,0.668473308849436,0.5,0.9,True
S2_common_cause,any_guardrail_failure,I1,64,128,127,0.9921875,0.9570737405611394,0.9986195681071257,0.6812417187250996,0.5,0.9,True
S2_common_cause,any_guardrail_failure,I2,64,128,128,1.0,0.9708630437264916,1.0,0.6918097747418451,0.5,0.9,True
S2_common_cause,stack_unsafe_pass,I0,256,128,128,1.0,0.9708630437264916,1.0,0.588326009893468,0.5,0.9,True
S2_common_cause,stack_unsafe_pass,I1,256,128,128,1.0,0.9708630437264916,1.0,0.5936115820188002,0.5,0.9,True
S2_common_cause,stack_unsafe_pass,I2,256,128,128,1.0,0.9708630437264916,1.0,0.38679337760869037,0.5,0.9,True
S2_common_cause,any_guardrail_failure,I0,256,128,128,1.0,0.9708630437264916,1.0,0.5923848477840928,0.5,0.9,True
S2_common_cause,any_guardrail_failure,I1,256,128,126,0.984375,0.9448190233201829,0.9957045502898559,0.5929096777219252,0.5,0.9,True
S2_common_cause,any_guardrail_failure,I2,256,128,126,0.984375,0.9448190233201829,0.9957045502898559,0.5723277131755207,0.5,0.9,True
S3_mutually_exclusive,stack_unsafe_pass,I0,64,128,128,1.0,0.9708630437264916,1.0,0.37550455884943607,0.0,0.9,True
S3_mutually_exclusive,stack_unsafe_pass,I1,64,128,128,1.0,0.9708630437264916,1.0,0.18502589841259984,0.0,0.9,True
S3_mutually_exclusive,stack_unsafe_pass,I2,64,128,128,1.0,0.9708630437264916,1.0,0.19339668880434516,0.0,0.9,True
S3_mutually_exclusive,any_guardrail_failure,I0,64,128,128,1.0,0.9708630437264916,1.0,0.8740397150994359,0.75,0.9,True
S3_mutually_exclusive,any_guardrail_failure,I1,64,128,128,1.0,0.9708630437264916,1.0,0.8814370312250994,0.75,0.9,True
S3_mutually_exclusive,any_guardrail_failure,I2,64,128,128,1.0,0.9708630437264916,1.0,0.8880988372418451,0.75,0.9,True
S3_mutually_exclusive,stack_unsafe_pass,I0,256,128,128,1.0,0.9708630437264916,1.0,0.312660726690343,0.0,0.9,True
S3_mutually_exclusive,stack_unsafe_pass,I1,256,128,128,1.0,0.9708630437264916,1.0,0.09251294920629992,0.0,0.9,True
S3_mutually_exclusive,stack_unsafe_pass,I2,256,128,128,1.0,0.9708630437264916,1.0,0.09669834440217258,0.0,0.9,True
S3_mutually_exclusive,any_guardrail_failure,I0,256,128,128,1.0,0.9708630437264916,1.0,0.8075158451453784,0.75,0.9,True
S3_mutually_exclusive,any_guardrail_failure,I1,256,128,128,1.0,0.9708630437264916,1.0,0.7731529423113456,0.75,0.9,True
S3_mutually_exclusive,any_guardrail_failure,I2,256,128,128,1.0,0.9708630437264916,1.0,0.7620384928320267,0.75,0.9,True
