family,parameter_name,parameter_value,tail_side,epsilon,n,seed,miss_probability,amplification,lambda_lower,lambda_upper,lambda_relevant,d_miss_d_parameter,d_amplification_d_parameter,d2_miss_d_parameter2,max_derivative_change_parameter
gaussian,rho,0.0,upper,0.01,200000,20260914,9.5e-05,0.0095,0.0,0.0,0.0,0.002040816326530612,0.20408163265306117,-0.04164931278633903,0.9555
gaussian,rho,0.0245,upper,0.01,200000,20260914,0.000145,0.014499999999999999,0.0,0.0,0.0,0.0010204081632653058,0.10204081632653059,-0.041649312786339016,0.9555
gaussian,rho,0.049,upper,0.01,200000,20260914,0.000145,0.014499999999999999,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-0.010412328196584756,0.9555
gaussian,rho,0.07350000000000001,upper,0.01,200000,20260914,0.000145,0.014499999999999999,0.0,0.0,0.0,0.0005102040816326531,0.05102040816326536,0.03956684714702209,0.9555
gaussian,rho,0.098,upper,0.01,200000,20260914,0.00017,0.017,0.0,0.0,0.0,0.0019387755102040823,0.19387755102040827,0.029154518950437337,0.9555
gaussian,rho,0.1225,upper,0.01,200000,20260914,0.00024,0.024,0.0,0.0,0.0,0.0019387755102040823,0.19387755102040827,-0.03331945022907119,0.9555
gaussian,rho,0.14700000000000002,upper,0.01,200000,20260914,0.000265,0.0265,0.0,0.0,0.0,0.00030612244897959117,0.030612244897958996,-0.043731778425655954,0.9555
gaussian,rho,0.1715,upper,0.01,200000,20260914,0.000255,0.025500000000000002,0.0,0.0,0.0,-0.00020408163265306107,-0.020408163265306034,0.089546022490629,0.9555
gaussian,rho,0.196,upper,0.01,200000,20260914,0.000255,0.025500000000000002,0.0,0.0,0.0,0.004693877551020411,0.4693877551020409,0.06663890045814247,0.9555
gaussian,rho,0.2205,upper,0.01,200000,20260914,0.000485,0.0485,0.0,0.0,0.0,0.0030612244897959186,0.30612244897959173,-0.0999583506872138,0.9555
gaussian,rho,0.245,upper,0.01,200000,20260914,0.000405,0.040499999999999994,0.0,0.0,0.0,-0.00020408163265306367,-0.020408163265306256,0.0020824656393167718,0.9555
gaussian,rho,0.2695,upper,0.01,200000,20260914,0.000475,0.0475,0.0,0.0,0.0,0.003163265306122447,0.3163265306122446,0.039566847147022015,0.9555
gaussian,rho,0.29400000000000004,upper,0.01,200000,20260914,0.00056,0.055999999999999994,0.0,0.0,0.0,0.001734693877551017,0.17346938775510168,0.010412328196584802,0.9555
gaussian,rho,0.3185,upper,0.01,200000,20260914,0.00056,0.055999999999999994,0.0,0.0,0.0,0.003673469387755094,0.3673469387755093,0.029154518950437386,0.9555
gaussian,rho,0.343,upper,0.01,200000,20260914,0.00074,0.074,0.0,0.0,0.0,0.0031632653061224435,0.31632653061224447,-0.052061640982923846,0.9555
gaussian,rho,0.3675,upper,0.01,200000,20260914,0.000715,0.07150000000000001,0.0,0.0,0.0,0.0011224489795918294,0.11224489795918302,-1.6653345369377348e-16,0.9555
gaussian,rho,0.392,upper,0.01,200000,20260914,0.000795,0.0795,0.0,0.0,0.0,0.0031632653061224453,0.31632653061224425,0.045814244064973156,0.9555
gaussian,rho,0.41650000000000004,upper,0.01,200000,20260914,0.00087,0.087,0.0,0.0,0.0,0.003367346938775516,0.3367346938775515,0.062473969179508676,0.9555
gaussian,rho,0.441,upper,0.01,200000,20260914,0.00096,0.096,0.0,0.0,0.0,0.006224489795918362,0.6224489795918364,0.06663890045814234,0.9555
gaussian,rho,0.4655,upper,0.01,200000,20260914,0.001175,0.11750000000000001,0.0,0.0,0.0,0.006632653061224486,0.6632653061224485,-0.052061640982923846,0.9555
gaussian,rho,0.49,upper,0.01,200000,20260914,0.001285,0.12849999999999998,0.0,0.0,0.0,0.003673469387755101,0.36734693877551017,-0.06039150354019164,0.9555
gaussian,rho,0.5145000000000001,upper,0.01,200000,20260914,0.001355,0.1355,0.0,0.0,0.0,0.003673469387755108,0.36734693877551106,0.06455643481882589,0.9555
gaussian,rho,0.539,upper,0.01,200000,20260914,0.001465,0.1465,0.0,0.0,0.0,0.006836734693877557,0.683673469387756,0.18533944189920817,0.9555
gaussian,rho,0.5635,upper,0.01,200000,20260914,0.00169,0.169,0.0,0.0,0.0,0.012755102040816296,1.2755102040816295,-0.03331945022907122,0.9555
gaussian,rho,0.5880000000000001,upper,0.01,200000,20260914,0.00209,0.209,0.0,0.0,0.0,0.005204081632653006,0.5204081632653006,-0.2498958767180329,0.9555
