n_events,event,endpoint,sample_size,analytic,estimate_mean,estimate_sd,abs_error
2,and,lower,100,0.012756927797640122,0.013333333333333334,0.01649915822768611,0.0005764055356932123
2,and,lower,300,0.012756927797640122,0.012499999999999997,0.007592027982620249,0.00025692779764012463
2,and,lower,1000,0.012756927797640122,0.013833333333333336,0.0027028791233711428,0.0010764055356932145
2,and,lower,3000,0.012756927797640122,0.013583333333333331,0.002309902194498319,0.0008264055356932091
2,and,lower,10000,0.012756927797640122,0.012933333333333333,0.0012016192778450624,0.00017640553569321128
2,and,upper,100,0.012756927797640122,0.018333333333333333,0.017716909687891084,0.005576405535693212
2,and,upper,300,0.012756927797640122,0.01361111111111111,0.005520724142875497,0.0008541833134709884
2,and,upper,1000,0.012756927797640122,0.011499999999999998,0.002843120351538664,0.0012569277976401238
2,and,upper,3000,0.012756927797640122,0.012305555555555556,0.001817906474661797,0.00045137224208456617
2,and,upper,10000,0.012756927797640122,0.012791666666666668,0.0010980728067340928,3.473886902654634e-05
2,or,lower,100,0.7287266083966281,0.7158333333333333,0.04386690729417286,0.01289327506329474
2,or,lower,300,0.7287266083966281,0.7100000000000001,0.03112103016480204,0.018726608396627986
2,or,lower,1000,0.7287266083966281,0.7353333333333332,0.013486618882762617,0.006606724936705111
2,or,lower,3000,0.7287266083966281,0.7341666666666665,0.008525017649596149,0.005440058270038461
2,or,lower,10000,0.7287266083966281,0.72925,0.0031870833060966565,0.0005233916033718922
2,or,upper,100,0.7287266083966281,0.7516666666666668,0.060254091608417396,0.022940058270038755
2,or,upper,300,0.7287266083966281,0.7183333333333334,0.02961168438052541,0.010393275063294682
2,or,upper,1000,0.7287266083966281,0.7336666666666667,0.01719657588656017,0.0049400582700386275
2,or,upper,3000,0.7287266083966281,0.7275833333333335,0.009480120525878629,0.001143275063294591
2,or,upper,10000,0.7287266083966281,0.7279333333333332,0.0045779058773878535,0.0007932750632948515
3,and,lower,100,0.1530624039323229,0.16416666666666666,0.04050891534245545,0.011104262734343756
3,and,lower,300,0.1530624039323229,0.15055555555555555,0.01603429965517979,0.0025068483767673455
3,and,lower,1000,0.1530624039323229,0.15208333333333332,0.010858624324573634,0.0009790705989895787
3,and,lower,3000,0.1530624039323229,0.15383333333333335,0.008347210667398179,0.0007709294010104506
3,and,lower,10000,0.1530624039323229,0.15303333333333333,0.003349460984828588,2.9070598989572316e-05
3,and,upper,100,0.2562860516262999,0.2483333333333333,0.025110865288865608,0.00795271829296662
3,and,upper,300,0.2562860516262999,0.26833333333333337,0.026229048075806394,0.012047281707033453
3,and,upper,1000,0.2562860516262999,0.24899999999999997,0.014247806848775012,0.007286051626299944
3,and,upper,3000,0.2562860516262999,0.2539722222222222,0.007722571934527427,0.002313829404077705
3,and,upper,10000,0.2562860516262999,0.258825,0.0049502735614643896,0.0025389483737001117
3,or,lower,100,0.8406406249298268,0.8425000000000001,0.03514849451493856,0.001859375070173308
3,or,lower,300,0.8406406249298268,0.8405555555555555,0.026451679682483145,8.506937427132932e-05
3,or,lower,1000,0.8406406249298268,0.8393333333333333,0.013230856191326239,0.001307291596493565
3,or,lower,3000,0.8406406249298268,0.8408611111111112,0.00685357210637519,0.0002204861812843406
3,or,lower,10000,0.8406406249298268,0.8409916666666666,0.003424776959485441,0.00035104173683975226
