p1,p2,p3,event,classical_width,improved_width,width_reduction
0.05,0.05,0.55,and,0.05,0.0025000000000000005,0.0475
0.05,0.05,0.55,or,0.09999999999999998,0.0024999999999999467,0.09750000000000003
0.05,0.095,0.55,and,0.05,0.004750000000000001,0.04525
0.05,0.095,0.55,or,0.14500000000000002,0.004750000000000032,0.14024999999999999
0.05,0.14,0.55,and,0.05,0.007000000000000001,0.043000000000000003
0.05,0.14,0.55,or,0.18999999999999995,0.006999999999999895,0.18300000000000005
0.05,0.185,0.55,and,0.05,0.00925,0.04075
0.05,0.185,0.55,or,0.235,0.009250000000000091,0.2257499999999999
0.05,0.22999999999999998,0.55,and,0.05,0.0115,0.038500000000000006
0.05,0.22999999999999998,0.55,or,0.28,0.011500000000000066,0.26849999999999996
0.05,0.27499999999999997,0.55,and,0.05,0.01375,0.036250000000000004
0.05,0.27499999999999997,0.55,or,0.32499999999999996,0.013750000000000151,0.3112499999999998
0.05,0.32,0.55,and,0.05,0.016,0.034
0.05,0.32,0.55,or,0.37,0.015999999999999903,0.3540000000000001
0.05,0.365,0.55,and,0.05,0.01825,0.03175
0.05,0.365,0.55,or,0.41500000000000004,0.01824999999999999,0.39675000000000005
0.05,0.41,0.55,and,0.05,0.0205,0.029500000000000002
0.05,0.41,0.55,or,0.44999999999999996,0.020500000000000185,0.42949999999999977
0.05,0.45499999999999996,0.55,and,0.05,0.022500000000000003,0.0275
0.05,0.45499999999999996,0.55,or,0.44999999999999996,0.022500000000000075,0.4274999999999999
0.05,0.49999999999999994,0.55,and,0.05,0.0225,0.027500000000000004
0.05,0.49999999999999994,0.55,or,0.44999999999999996,0.022499999999999853,0.4275000000000001
0.05,0.545,0.55,and,0.05,0.0225,0.027500000000000004
0.05,0.545,0.55,or,0.44999999999999996,0.022500000000000075,0.4274999999999999
0.05,0.5900000000000001,0.55,and,0.05,0.020499999999999997,0.029500000000000005
0.05,0.5900000000000001,0.55,or,0.4099999999999999,0.020500000000000074,0.38949999999999985
0.05,0.635,0.55,and,0.05,0.018250000000000002,0.03175
0.05,0.635,0.55,or,0.365,0.01824999999999999,0.34675
0.05,0.68,0.55,and,0.05,0.016,0.034
0.05,0.68,0.55,or,0.31999999999999995,0.015999999999999903,0.30400000000000005
0.05,0.725,0.55,and,0.05,0.013750000000000005,0.03625
0.05,0.725,0.55,or,0.275,0.013750000000000151,0.26124999999999987
0.05,0.77,0.55,and,0.05,0.011499999999999996,0.038500000000000006
0.05,0.77,0.55,or,0.22999999999999998,0.011500000000000066,0.21849999999999992
0.05,0.8150000000000001,0.55,and,0.05,0.009249999999999994,0.04075000000000001
0.05,0.8150000000000001,0.55,or,0.18499999999999994,0.00924999999999998,0.17574999999999996
0.05,0.86,0.55,and,0.05,0.006999999999999999,0.043000000000000003
0.05,0.86,0.55,or,0.14,0.007000000000000006,0.133
0.05,0.905,0.55,and,0.05,0.004749999999999997,0.045250000000000005
0.05,0.905,0.55,or,0.09499999999999997,0.004750000000000254,0.09024999999999972
0.05,0.95,0.55,and,0.05,0.0025000000000000022,0.0475
0.05,0.95,0.55,or,0.050000000000000044,0.0025000000000001688,0.047499999999999876
