rho,rho_neg,rho_pos,tpr_b_target,fpr_b_target,tpr_a_target,fpr_a_target,comp,n_samples,replicates,thr_a,thr_b,mu_a,mu_b,tpr_a,tpr_a_std,fpr_a,fpr_a_std,tpr_b,tpr_b_std,fpr_b,fpr_b_std,tpr_comp,tpr_comp_std,fpr_comp,fpr_comp_std,j_a,j_a_std,j_b,j_b_std,j_comp,j_comp_std,cc_max,cc_max_std,delta_add,delta_add_std,rho_score_neg_hat,rho_score_neg_hat_std,rho_score_pos_hat,rho_score_pos_hat_std,rho_dec_neg_hat,rho_dec_neg_hat_std,rho_dec_pos_hat,rho_dec_pos_hat_std
-0.6,-0.6,-0.6,0.6,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.6584186634454325,0.819,0.0,0.0779,0.0,0.6013,0.0,0.0761,0.0,0.43745,0.0,5e-05,0.0,0.7411,0.0,0.5251999999999999,0.0,0.4374,0.0,0.5902037511806774,0.0,-0.43967427999999986,0.0,-0.5923015069823742,0.0,-0.5996836616287721,0.0,-0.08271438934356823,0.0,-0.2918292311717098,0.0
-0.6,-0.6,-0.6,0.625,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7237109242740078,0.82315,0.0,0.07965,0.0,0.6267,0.0,0.07915,0.0,0.4636,0.0,0.0001,0.0,0.7435,0.0,0.54755,0.0,0.4635,0.0,0.6234028244788165,0.0,-0.42044657499999993,0.0,-0.5994503607606914,0.0,-0.5986261828066621,0.0,-0.0848795972372933,0.0,-0.28322780670528136,0.0
-0.6,-0.6,-0.6,0.65,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7903920267172002,0.81705,0.0,0.07915,0.0,0.64995,0.0,0.081,0.0,0.47885,0.0,0.00015,0.0,0.7379,0.0,0.5689500000000001,0.0,0.4787,0.0,0.6487328906355875,0.0,-0.408321795,0.0,-0.591240239004993,0.0,-0.6023135838535317,0.0,-0.08500293814683718,0.0,-0.2830124018151152,0.0
-0.6,-0.6,-0.6,0.675,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.8588337504795123,0.81875,0.0,0.08125,0.0,0.67675,0.0,0.07765,0.0,0.50605,0.0,0.0,0.0,0.7374999999999999,0.0,0.5991,0.0,0.50605,0.0,0.6861694915254238,0.0,-0.38871374999999986,0.0,-0.6032011033760495,0.0,-0.6025851031253562,0.0,-0.08628511112544855,0.0,-0.2666222937143404,0.0
-0.6,-0.6,-0.6,0.7,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.9294720730176733,0.8193,0.0,0.07975,0.0,0.69705,0.0,0.0822,0.0,0.52475,0.0,0.0,0.0,0.73955,0.0,0.6148499999999999,0.0,0.52475,0.0,0.7095531066188899,0.0,-0.37493768250000004,0.0,-0.6080598858579411,0.0,-0.6019606949993118,0.0,-0.08809967674351007,0.0,-0.26209983981664314,0.0
-0.6,-0.6,-0.6,0.725,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.002831686352111,0.8171,0.0,0.08365,0.0,0.7266,0.0,0.07705,0.0,0.5504,0.0,0.0001,0.0,0.73345,0.0,0.6495500000000001,0.0,0.5503,0.0,0.7502897266343991,0.0,-0.3562875525,0.0,-0.6012746895853339,0.0,-0.6031244587573802,0.0,-0.08594259574773214,0.0,-0.25133051956860436,0.0
-0.6,-0.6,-0.6,0.75,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.0795613105057145,0.8183,0.0,0.07765,0.0,0.75355,0.0,0.0808,0.0,0.5779,0.0,5e-05,0.0,0.74065,0.0,0.6727500000000001,0.0,0.57785,0.0,0.7801930736515222,0.0,-0.33727771250000016,0.0,-0.6023182726951434,0.0,-0.6024140049808367,0.0,-0.08533921877888777,0.0,-0.23307351022182227,0.0
-0.6,-0.6,-0.6,0.775,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.160486586670102,0.8202,0.0,0.08015,0.0,0.77975,0.0,0.0822,0.0,0.60475,0.0,0.00015,0.0,0.7400500000000001,0.0,0.6975500000000001,0.0,0.6046,0.0,0.8169718262279575,0.0,-0.31677812250000004,0.0,-0.5945301977436468,0.0,-0.5950064920683918,0.0,-0.08632826800097898,0.0,-0.21867579953562835,0.0
-0.6,-0.6,-0.6,0.8,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.246692793882547,0.8212,0.0,0.08415,0.0,0.80835,0.0,0.0813,0.0,0.63265,0.0,0.0001,0.0,0.73705,0.0,0.72705,0.0,0.6325500000000001,0.0,0.8582185740451802,0.0,-0.2956777974999999,0.0,-0.6094614944849548,0.0,-0.6032525745038415,0.0,-0.08885429156116968,0.0,-0.20664881488383557,0.0
-0.6,-0.6,-0.6,0.825,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.3396608513831127,0.81965,0.0,0.0781,0.0,0.8251,0.0,0.07855,0.0,0.6477,0.0,0.00015,0.0,0.7415499999999999,0.0,0.7465499999999999,0.0,0.6475500000000001,0.0,0.8673899939722726,0.0,-0.28694584749999974,0.0,-0.5959970394107637,0.0,-0.5973708040531208,0.0,-0.08290294718946896,0.0,-0.1957683572843048,0.0
-0.6,-0.6,-0.6,0.8500000000000001,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.4415049498034227,0.82085,0.0,0.0772,0.0,0.84835,0.0,0.0798,0.0,0.6711,0.0,0.0002,0.0,0.7436499999999999,0.0,0.7685500000000001,0.0,0.6709,0.0,0.872942554160432,0.0,-0.26976779249999994,0.0,-0.6043598740721957,0.0,-0.6000040595341403,0.0,-0.08241040733963656,0.0,-0.1837060660303186,0.0
-0.6,-0.6,-0.6,0.875,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.5554209406856403,0.82035,0.0,0.08075,0.0,0.8721,0.0,0.07735,0.0,0.69425,0.0,0.00015,0.0,0.7396,0.0,0.79475,0.0,0.6941,0.0,0.8733564013840831,0.0,-0.25245289999999987,0.0,-0.5971412508775265,0.0,-0.5959233579480187,0.0,-0.08375468547066052,0.0,-0.1651724605519967,0.0
